 ,IMPORT REPORT,,,23-Jan,,,,,,,,
,,,,,,,,,,,,
,CONKEN 4 TRUCKS,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
4,T541 EKT,T215 EDL,DSM TAHMEED YARD-TO LOAD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
5,T750 ELY,T627 EMF,DSM TAHMEED YARD-TO LOAD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
6,T236 ELV,T618 EMF,DSM TAHMEED YARD-TO LOAD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
7,T536 EEQ,T709 EEM,DSM TAHMEED YARD-TO LOAD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
8,T139 DZY,T199 EFU,DSM TAHMEED YARD-TO LOAD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
9,T158 DZY,T540 DZE,DSM TAHMEED YARD-TO LOAD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
10,T533 EGD,T180 EFU,DSM TAHMEED YARD-TO LOAD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
11,T708 EET,T598 EEN,DSM TAHMEED YARD-TO LOAD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
12,T453 EAG,T890 EAK,DSM TAHMEED YARD-TO LOAD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
13,T715 DXY,T473 DYC,DSM TAHMEED YARD-TO LOAD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
14,T424 EAF,T947 DZS,DSM-WAITING TO OFFLOAD,WAITING TO OFFLOAD,FLATBED,NA,31,23-Dec,23-Jan,,,
15,T682 ENG,T372 EMZ,DSM-WAITING TO OFFLOAD,WAITING TO OFFLOAD,FLATBED,NA,32,22-Dec,23-Jan,,,
16,T988 EFN,T602 EGS,DSM-WAITING TO OFFLOAD,WAITING TO OFFLOAD,FLATBED,NA,31,23-Dec,23-Jan,,,
17,T679 ENG,T376 EMZ,MBEYA-ENROUTE DAR,ENROUTE DAR,FLATBED,NA,30,24-Dec,23-Jan,,,
18,T157 EGJ,T206 EFU,TUNDUMA-TZ-ENROUTE DAR,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
19,T851 EKS,T901 EKY,NAKONDE-ENROUTE DAR,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,RELOAD 708MT DSM-LIKASI,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T478 EKZ,T705 ELK,DOMA-TZ,ENROUTE LIKASI,FLATBED,NA,10,13-Jan,23-Jan,,,
2,T704 DXY,T404 DYC,MOROGORO-TZ,ENROUTE LIKASI,FLATBED,NA,10,13-Jan,23-Jan,,,
3,T469 EKZ,T689 ELK,KIBAHA-TZ,ENROUTE LIKASI,FLATBED,NA,11,12-Jan,23-Jan,,,
4,T554 EKT,T694 ELK,MISUGUSUGU-TZ,ENROUTE LIKASI,FLATBED,NA,10,13-Jan,23-Jan,,,
5,T984 EFN,T614 EGS,MISUGUSUGU-TZ,ENROUTE LIKASI,FLATBED,NA,10,13-Jan,23-Jan,,,
6,T148 EGJ,T188 EFU,DSM,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
7,T657 ECQ,T567 ECC,DSM,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
8,T614 EDD,T274 EDL,DSM,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
9,T658 ECQ,T568 ECC,DSM,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
10,T617 ENG,T367 EMZ,DSM,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
11,T615 ENG,T865 EMY,DSM,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
12,T154 EGJ,T220 EFU,DSM TAHMEED YARD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
13,T457 EAG,T927 DZS,DSM TAHMEED YARD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
14,T139 EFP,T610 EGS,DSM TAHMEED YARD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
15,T678 ENG,T848 EM, DSM TAHMEED YARD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
16,T996 EFN,T619 EGS,DSM,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
17,T685 ENG,T375 EMZ,DSM,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
18,T468 EKZ,T697 ELK,SONGWE-TZ,ENROUTE DAR,FLATBED,NA,32,22-Dec,23-Jan,,,
19,T831 EKS,T880 EKY,NAKONDE-ZMB,ENROUTE DAR,FLATBED,NA,32,22-Dec,23-Jan,,,
20,T844 EKS,T629 ELE,NAKONDE-ZMB,ENROUTE DAR,FLATBED,NA,32,22-Dec,23-Jan,,,
21,T860 EKS,T915 EKY,KASUMBALESA-ZMB,TO LOAD,FLATBED,NA,12,11-Jan,23-Jan,,,
22,T532 EGD,T102 EFU,KASUMBALESA-ZMB,TO LOAD,FLATBED,NA,12,11-Jan,23-Jan,,,
,,,,,,,,,,,,
,IMPALA 638MT DSM-KOLWEZI,,,COMIKA,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T242 ELV,T624 EMF,MPIKA-ZMB,ENROUTE COMICKA,FLATBED,NA,14,09-Jan,23-Jan,,,
2,T543 EKT,T690 ELK,TUNDUMA-TZ,WAITING TO CROSS,FLATBED,NA,14,09-Jan,23-Jan,,,
3,T681 ENG,T371 EMZ,MBEYA-TZ,ENROUTE COMICKA,FLATBED,NA,13,10-Jan,23-Jan,,,
4,T156 EGJ,T225 EFU,IRINGA-TZ,ENROUTE COMICKA,FLATBED,NA,12,11-Jan,23-Jan,,,
5,T838 EKS,T889 EKY,VIGWAZA-TZ,ENROUTE COMICKA,FLATBED,NA,12,11-Jan,23-Jan,,,
6,T546 EKT,T692 ELK,KIBAHA-TZ,ENROUTE COMICKA,FLATBED,NA,12,11-Jan,23-Jan,,,
7,T861 EKS,T921 EKY,CHALINZE-TZ,ENROUTE COMICKA,FLATBED,NA,14,09-Jan,23-Jan,,,
8,T705 EHJ,T463 EGT,CHALINZE-TZ,ENROUTE COMICKA,FLATBED,NA,16,07-Jan,23-Jan,,,
9,T497 EEQ,T717 EEM,MOROGORO-TZ,ENROUTE COMICKA,FLATBED,NA,12,11-Jan,23-Jan,,,
10,T710 DXY,T639 DWL,MOROGORO-TZ,ENROUTE COMICKA,FLATBED,NA,15,08-Jan,23-Jan,,,
11,T243 ELV,T607 EMF,MOROGORO-TZ,ENROUTE COMICKA,FLATBED,NA,15,08-Jan,23-Jan,,,
12,T708 DXY,T393 DYC,MOROGORO-TZ,ENROUTE COMICKA,FLATBED,NA,15,08-Jan,23-Jan,,,
13,T471 EDD,T985 EDK,MOROGORO-TZ,ENROUTE COMICKA,FLATBED,NA,12,11-Jan,23-Jan,,,
14,T700 DXY,T578 ECC,DSM,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
15,T165 EGJ,T181 EFU,DSM,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
16,T683 ENG,T833 EMY,DSM TAHMEED YARD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
17,T759 ELY,T641 EMF,DSM TAHMEED YARD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
18,T852 EKS,T902 EKY,DSM,WAITING TO OFFLOAD,FLATBED,NA,NA,NA,23-Jan,,,
19,T847 EKS,T634 ELE,ISOKA-ZMB,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
20,T686 ENG,T376 EMZ,MIKUMI-TZ,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
,,,,,,,,,,,,
,IMPALA 543MT DSM-KOLWEZI,,,STE KINGA-KILA MINING SASU,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T643 EAF,T890 DZS,KASUMBALESA-DRC,UNDER TR8 PROCESS,FLATBED,NA,-342,31-Dec,23-Jan,,,
2,T681 EAQ,T478 EGT,KASUMBALESA-DRC,UNDER TR8 PROCESS,FLATBED,NA,24,30-Dec,23-Jan,,,
3,T854 EKS,T905 EKY,KASUMBALESA-DRC,UNDER TR8 PROCESS,FLATBED,NA,-342,31-Dec,23-Jan,,,
4,T542 EKT,T698 ELK,KASUMBALESA-DRC,UNDER TR8 PROCESS,FLATBED,NA,-342,31-Dec,23-Jan,,,
5,T405 EAF,T949 DZS,KASUMBALESA-ZMB,WAITING TO CROSS,FLATBED,NA,24,30-Dec,23-Jan,,,
6,T121 DZY,T884 DZC,KASUMBALESA-ZMB,UNDER TR8 PROCESS,FLATBED,NA,24,30-Dec,23-Jan,,,
7,T891 EEU,T732 EEM,KASUMBALESA-ZMB,UNDER TR8 PROCESS,FLATBED,NA,24,30-Dec,23-Jan,,,
8,T680 ENG,T380 EMZ,KONKOLA-ZMB,ENROUTE KOLWEZI,FLATBED,NA,26,28-Dec,23-Jan,,,
9,T159 EGJ,T182 EFU,KONKOLA-ZMB,ENROUTE KOLWEZI,FLATBED,NA,24,30-Dec,23-Jan,,,
10,T147 DZY,T563 DZE,KONKOLA-ZMB,ENROUTE KOLWEZI,FLATBED,NA,-342,31-Dec,23-Jan,,,
