Date,Truck No.,Going Do,Return Do,Start,From,To,Total Lts,Extra,MMSA Yard,Tanga Yard,Dar Yard,Dar Going,Moro Going,Mbeya Going,Tdm Going,Zambia Going,Congo Fuel,Zambia Return,Tunduma Return ,Mbeya Return,Moro Return,Dar Return,Tanga Return,Balance
,T240 ELV,6699,,DAR,DAR,Commus,2400,60,,,-550,,,-450,,,,,,,,,,1460
,T243 ELV,6700,,DAR,DAR,Commus,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T236 ELV,6701,,DAR,DAR,Commus,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T663 ECQ,6702,,DAR,DAR,Commus,2400,60,,,-580,,,-450,,-560,,,,,,,,870
,T565 EAF,6703,,DAR,DAR,Commus,2400,100,,,-550,,,-450,,-600,,,,,,,,900
,T595 DRE,6704,,DAR,DAR,Commus,2400,100,,,-550,,,-450,,-600,,,,,,,,900
,T162 DZY,6705,,DAR,DAR,Commus,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T697 DXY,6706,,DAR,DAR,Commus,2400,100,,,-550,,,-450,,-600,,,,,,,,900
,T594 EDD,6707,,DAR,DAR,Commus,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T598 DTB,6708,,DAR,DAR,Commus,2400,100,,,-560,,-20,,,,,,,,,,,1920
,T791 EEU,6709,,DAR,DAR,Commus,2400,60,,,580,,,,,,,,,,,,,3040
,T681 EAQ,6710,,DAR,DAR,Commus,2400,60,,,-550,,,-450,,-560,,,,,,,,900
29-Oct,T720 EET,6711,,MBSA,MBSA,Lubumbashi,1900,60,,-450,,,,-470,,-260,,,,,,,,780
30-Oct,T712 DXY,6712,,MBSA,MBSA,Lubumbashi,1900,100,,-450,,,,-470,,-300,,,,,,,,780
