SN,DATE ,IMPORT OR EXPORT,D.O No.,Invoice Nos,CLIENT NAME ,TRUCK No.,TRAILER No.,CONTAINER No.,BORDER ENTRY DRC,LOADING POINT,DESTINATION,HAULIER,TONNAGES ,RATE PER TON,RATE,
6343,3-Oct,IMPORT,6343,,POSEIDON,T844 EKS,T629 ELE,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6344,3-Oct,IMPORT,6344,,POSEIDON,T141 EFP,T621 EGS,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6345,3-Oct,IMPORT,6345,,POSEIDON,T168 EGJ,T194 EFU,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6346,3-Oct,IMPORT,6346,,POSEIDON,T532 EGD,T102 EFU,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6347,3-Oct,IMPORT,6347,,POSEIDON,T811 EEU,T581 EEN,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6348,3-Oct,IMPORT,6348,,POSEIDON,T487 EEQ,T697 EEM,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6349,3-Oct,IMPORT,6349,,POSEIDON,T589 DRE,T338 DRP,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6350,3-Oct,IMPORT,6350,,POSEIDON,T860 EKS,T915 EKY,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6351,3-Oct,IMPORT,6351,,POSEIDON,T432 EAF,T955 DZC,LOOSE CARGO,,DAR,CCR KOLWEZI,,31,180,,
6352,3-Oct,IMPORT,6352,,POSEIDON,T207 EHE,T467 EGT,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6353,3-Oct,EXPORT,6353,,POSEIDON,T854 EKS,T905 EKY,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6354,3-Oct,EXPORT,6354,,POSEIDON,T160 EGJ,T223 EFU,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6355,3-Oct,EXPORT,6355,,POSEIDON,T458 EAG,T895 DZS,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6356,3-Oct,EXPORT,6356,,POSEIDON,T679 EAQ,T899E AK,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6357,3-Oct,EXPORT,6357,,POSEIDON,T149 EFP,T599 EGS,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6358,3-Oct,EXPORT,6358,,POSEIDON,T598 DTB,T661DTH,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,31,180,,
6359,3-Oct,EXPORT,6359,,POSEIDON,T791 EEU,T594 EEN,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6360,3-Oct,EXPORT,6360,,POSEIDON,T859 EKS,T911 EKY,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6361,3-Oct,EXPORT,6361,,POSEIDON,T461 EAG,T886 EAK,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6362,3-Oct,EXPORT,6362,,POSEIDON,T424 EAF,T947 DZS,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,31,180,,
6363,3-Oct,EXPORT,6363,,POSEIDON,T849 EKS,T899 EKY,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6364,3-Oct,EXPORT,6364,,POSEIDON,T103 DVL,T349 DVT,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,31,180,,
6365,3-Oct,EXPORT,6365,,POSEIDON,T821 DNH,T794 DNU,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,31,180,,
6366,3-Oct,EXPORT,6366,,POSEIDON,T514 EGD,T997 EFT,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6367,3-Oct,EXPORT,6367,,POSEIDON,T633 EAF,T898 DZS,LOOSE CARGO,,KISAMFU,DAR,KFM ,31,180,,
6368,3-Oct,EXPORT,6368,,POSEIDON,T159 EGJ,T182 EFU,LOOSE CARGO,,KISAMFU,DAR,KFM ,32,180,,
6369,3-Oct,EXPORT,6369,,POSEIDON,T572 EAF,T917 DZS,LOOSE CARGO,,KISAMFU,DAR,KFM ,31,180,,
6370,3-Oct,EXPORT,6370,,POSEIDON,T123 DYY,T958DYY,LOOSE CARGO,,KISAMFU,DAR,KFM ,32,180,,
6371,3-Oct,EXPORT,6371,,POSEIDON,T724 EET,T584 EEN,LOOSE CARGO,,KISAMFU,DAR,KFM ,32,180,,
6372,3-Oct,EXPORT,6372,,POSEIDON,T107 DVL,T889 DZC,LOOSE CARGO,,KISAMFU,DAR,KFM ,31,180,,
6373,3-Oct,EXPORT,6373,,POSEIDON,T121 DZY,T884 DZC,LOOSE CARGO,,KISAMFU,DAR,KFM ,32,180,,
6374,3-Oct,EXPORT,6374,,POSEIDON,T214 EHE,T474 EGT,LOOSE CARGO,,KISAMFU,DAR,KFM ,32,180,,
6375,3-Oct,EXPORT,6375,,POSEIDON,T590 DRE,T731 DRD,LOOSE CARGO,,KISAMFU,DAR,KFM ,31,180,,
6376,3-Oct,EXPORT,6376,,POSEIDON,T530 DRF,T334 DRP,LOOSE CARGO,,KISAMFU,DAR,KFM ,32,180,,
6377,3-Oct,EXPORT,6377,,POSEIDON,T634 DNY,T490 DFZ,LOOSE CARGO,,KOLWEZI,DAR,CCR,31,170,,
6378,6-Oct,EXPORT,6378,,POLYTRA,T156 EGJ,T225 EFU,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6379,6-Oct,EXPORT,6379,,POLYTRA,T471 EDD,T985 EDK,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6380,6-Oct,EXPORT,6380,,POLYTRA,T709 EET,T589 EEN,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6381,6-Oct,EXPORT,6381,,POLYTRA,T681 EAQ,T478 EGT,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6382,6-Oct,EXPORT,6382,,POLYTRA,T125 DYY,T979DYY,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6383,6-Oct,EXPORT,6383,,POLYTRA,T730 EET,T588 EEN,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6384,6-Oct,EXPORT,6384,,POLYTRA,T655 ECQ,T565ECC,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6385,6-Oct,EXPORT,6385,,POLYTRA,T700 DXY,T578 ECC,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6386,6-Oct,EXPORT,6386,,POLYTRA,T636 EAF,T913 DZS,LOOSE CARGO,,KAMOA,DAR,KAMOA,31,170,,
6387,6-Oct,EXPORT,6387,,POLYTRA,T726 EET,T586 EEN,LOOSE CARGO,,KAMOA,DAR,KAMOA,31,170,,
6388,6-Oct,EXPORT,6388,,POLYTRA,T836 EKS,T884 EKY,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6389,6-Oct,EXPORT,6389,,POLYTRA,T776 DWK,T328 DWL,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6390,6-Oct,EXPORT,6390,,POLYTRA,T522 DPN,T548 DPB,LOOSE CARGO,,KAMOA,DAR,KAMOA,31,170,,
6391,6-Oct,EXPORT,6391,,POLYTRA,T497 EEQ,T717 EEM,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6392,6-Oct,EXPORT,6392,,POLYTRA,T546 DRF,T505 DQF,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6393,6-Oct,EXPORT,6393,,POLYTRA,T807 EEU,T597 EEN,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6394,6-Oct,EXPORT,6394,,POLYTRA,T609 EDD,T960 EDK,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6395,6-Oct,IMPORT,6395,,IMPALA,T705 DXY,T388 DYC,LOOSE CARGO,,DSM,KOLWEZI,,31,205,,
6396,6-Oct,IMPORT,6396,,IMPALA,T839 DNH,T547 DPB,LOOSE CARGO,,DSM,KOLWEZI,,32,205,,
6397,6-Oct,IMPORT,6397,,IMPALA,T510 EGD,T176 EFU,LOOSE CARGO,,DSM,KOLWEZI,,32,205,,
6398,6-Oct,IMPORT,6398,,IMPALA,T552 DRE,T476 DQU,LOOSE CARGO,,DSM,KOLWEZI,,32,205,,
6399,6-Oct,IMPORT,6399,,IMPALA,T839 EKS,T894 EKY,LOOSE CARGO,,DSM,KOLWEZI,,32,205,,
6400,6-Oct,IMPORT,6400,,IMPALA,T837 EKS,T886 EKY,LOOSE CARGO,,DAR,KOLWEZI,,32,205,,
6401,6-Oct,IMPORT,6401,,IMPALA,T862 EKS,T636 ELE,LOOSE CARGO,,DAR,KOLWEZI,,32,205,,
6402,6-Oct,IMPORT,6402,,IMPALA,T148 DZY,T568 DZE,LOOSE CARGO,,DAR,KOLWEZI,,32,205,,
6403,6-Oct,IMPORT,6403,,IMPALA,T531 EGD,T204 EFU,LOOSE CARGO,,DAR,KOLWEZI,,32,205,,
6404,6-Oct,IMPORT,6404,,IMPALA,T551 EKT,T896 EAK,LOOSE CARGO,,DAR,KOLWEZI,,32,205,,
6405,7-Oct,EXPORT,6405,,RELOAD,T663 ECQ,T663 ECQ,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6406,7-Oct,EXPORT,6406,,RELOAD,T473 EKZ,T701 ELK,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6407,7-Oct,EXPORT,6407,,RELOAD,T585 DRE,T400 DQW,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6408,7-Oct,EXPORT,6408,,RELOAD,T774 DWK,T331 DWL,LOOSE CARGO,,KAMOA,DAR,KAMOA,31,170,,
6409,7-Oct,EXPORT,6409,,RELOAD,T653 DRE,T980 DYY,LOOSE CARGO,,KAMOA,DAR,KAMOA,30,170,,
6410,7-Oct,EXPORT,6410,,RELOAD,T539 EKT,T706 ELK,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6411,7-Oct,EXPORT,6411,,RELOAD,T688 EAQ,T693 ELK,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6412,7-Oct,EXPORT,6412,,RELOAD,T541 EKT,T688 ELK,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6413,7-Oct,EXPORT,6413,,RELOAD,T717 EET,T599 EEN,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6414,7-Oct,EXPORT,6414,,RELOAD,T659 ECQ,T572 ECC,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6415,7-Oct,EXPORT,6415,,RELOAD,T546 EKT,T692 ELK,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6416,7-Oct,EXPORT,6416,,RELOAD,T669 ECQ,T584 ECC,LOOSE CARGO,,KAMOA,DAR,KAMOA,32,170,,
6417,7-Oct,EXPORT,6417,,BRIDGE SHIPPING,T242 ELV,T624 EMF,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6418,7-Oct,EXPORT,6418,,BRIDGE SHIPPING,T720 EET,T602 EEN,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6419,7-Oct,EXPORT,6419,,BRIDGE SHIPPING,T639 EAF,T954 DZS,LOOSE CARGO,,COMMUS,MSA,COMMUS,31,272.5,,
6420,7-Oct,EXPORT,6420,,BRIDGE SHIPPING,T213 ELV,T609 EMF,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6421,7-Oct,EXPORT,6421,,BRIDGE SHIPPING,T219 ELV,T615 EMF,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6422,7-Oct,EXPORT,6422,,BRIDGE SHIPPING,T653 ECQ,T563ECC,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6423,7-Oct,EXPORT,6423,,BRIDGE SHIPPING,T198 EHE,T528 EGT,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6424,7-Oct,EXPORT,6424,,BRIDGE SHIPPING,T220 ELV,T616 EMF,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6425,7-Oct,EXPORT,6425,,BRIDGE SHIPPING,T702 EHJ,T618 EGS,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6426,7-Oct,EXPORT,6426,,BRIDGE SHIPPING,T885 EEU,T587 EEN,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6427,7-Oct,EXPORT,6427,,BRIDGE SHIPPING,T243 ELV,T607 EMF,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6428,7-Oct,EXPORT,6428,,BRIDGE SHIPPING,T457 EAG,T927 DZS,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6429,7-Oct,EXPORT,6429,,BRIDGE SHIPPING,T534 EEQ,T734 EEM,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6430,7-Oct,EXPORT,6430,,BRIDGE SHIPPING,T670 ECQ,T587ECC,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6431,7-Oct,EXPORT,6431,,BRIDGE SHIPPING,T604 EDD,T306 DWL,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6432,7-Oct,EXPORT,6432,,BRIDGE SHIPPING,T710 DXY,T639 DWL,LOOSE CARGO,,COMMUS,MSA,COMMUS,31,272.5,,
6433,7-Oct,EXPORT,6433,,BRIDGE SHIPPING,T712 DXY,T347 DYC,LOOSE CARGO,,COMMUS,MSA,COMMUS,31,272.5,,
6434,7-Oct,EXPORT,6434,,BRIDGE SHIPPING,T218 ELV,T614 EMF,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6435,7-Oct,EXPORT,6435,,BRIDGE SHIPPING,T236 ELV,T618 EMF,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6436,7-Oct,EXPORT,6436,,BRIDGE SHIPPING,T458 EKZ,T994 EFT,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6437,7-Oct,EXPORT,6437,,BRIDGE SHIPPING,T237 ELV,T619 EMF,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
6438,7-Oct,EXPORT,6438,,BRIDGE SHIPPING,T133 EFP,T593 EGS,LOOSE CARGO,,COMMUS,MSA,COMMUS,32,272.5,,
